setting,trial,method,min_epochs,test_acc,val_acc,total_epochs,best_epoch
100% Labeled,7,Control,0,0.7647058963775635,0.8690476417541504,15,11
100% Labeled,7,Control,15,0.7647058963775635,0.8690476417541504,17,11
100% Labeled,7,Control+SCARF,0,0.7823529243469238,0.8333333134651184,13,9
100% Labeled,7,Control+SCARF,15,0.7882353067398071,0.8809523582458496,17,13
100% Labeled,8,Control,0,0.7352941036224365,0.75,9,5
100% Labeled,8,Control,15,0.7470588088035583,0.8095238208770752,17,13
100% Labeled,8,Control+SCARF,0,0.7529411911964417,0.8095238208770752,15,11
100% Labeled,8,Control+SCARF,15,0.7529411911964417,0.8095238208770752,17,11
100% Labeled,9,Control,0,0.7529411911964417,0.773809552192688,8,4
100% Labeled,9,Control,15,0.7823529243469238,0.8333333134651184,19,15
100% Labeled,9,Control+SCARF,0,0.7882353067398071,0.8214285969734192,15,11
100% Labeled,9,Control+SCARF,15,0.7882353067398071,0.8214285969734192,17,11
25% Labeled,0,Control,0,0.6235294342041016,0.5714285969734192,11,7
25% Labeled,0,Control,15,0.6941176652908325,0.6547619104385376,17,12
25% Labeled,0,Control+SCARF,0,0.42941176891326904,0.4166666567325592,5,1
25% Labeled,0,Control+SCARF,15,0.658823549747467,0.6428571343421936,22,18
25% Labeled,1,Control,0,0.7058823704719543,0.7857142686843872,18,14
25% Labeled,1,Control,15,0.7058823704719543,0.7857142686843872,18,14
25% Labeled,1,Control+SCARF,0,0.5470588207244873,0.5476190447807312,11,7
25% Labeled,1,Control+SCARF,15,0.6411764621734619,0.761904776096344,18,14
25% Labeled,2,Control,0,0.729411780834198,0.7023809552192688,14,10
25% Labeled,2,Control,15,0.6941176652908325,0.75,21,17
25% Labeled,2,Control+SCARF,0,0.6764705777168274,0.6785714030265808,16,12
25% Labeled,2,Control+SCARF,15,0.6764705777168274,0.6785714030265808,17,12
25% Labeled,3,Control,0,0.6352941393852234,0.738095223903656,11,7
25% Labeled,3,Control,15,0.6352941393852234,0.738095223903656,17,7
25% Labeled,3,Control+SCARF,0,0.5,0.6309523582458496,11,7
25% Labeled,3,Control+SCARF,15,0.6235294342041016,0.7023809552192688,17,13
25% Labeled,4,Control,0,0.5823529362678528,0.6547619104385376,11,7
25% Labeled,4,Control,15,0.6529411673545837,0.773809552192688,19,15
25% Labeled,4,Control+SCARF,0,0.5352941155433655,0.6428571343421936,15,11
25% Labeled,4,Control+SCARF,15,0.6647058725357056,0.726190447807312,19,15
25% Labeled,5,Control,0,0.4470588266849518,0.511904776096344,5,1
25% Labeled,5,Control,15,0.6411764621734619,0.6785714030265808,17,12
25% Labeled,5,Control+SCARF,0,0.6705882549285889,0.7023809552192688,19,15
25% Labeled,5,Control+SCARF,15,0.6705882549285889,0.7023809552192688,19,15
25% Labeled,6,Control,0,0.6117647290229797,0.6547619104385376,11,7
25% Labeled,6,Control,15,0.7058823704719543,0.8095238208770752,19,15
25% Labeled,6,Control+SCARF,0,0.42941176891326904,0.4404761791229248,6,2
25% Labeled,6,Control+SCARF,15,0.6000000238418579,0.6785714030265808,17,13
25% Labeled,7,Control,0,0.6352941393852234,0.75,16,12
25% Labeled,7,Control,15,0.6352941393852234,0.75,17,12
25% Labeled,7,Control+SCARF,0,0.6647058725357056,0.738095223903656,18,14
25% Labeled,7,Control+SCARF,15,0.6647058725357056,0.738095223903656,18,14
25% Labeled,8,Control,0,0.364705890417099,0.4047619104385376,4,0
25% Labeled,8,Control,15,0.7352941036224365,0.761904776096344,21,17
25% Labeled,8,Control+SCARF,0,0.5470588207244873,0.5476190447807312,12,8
25% Labeled,8,Control+SCARF,15,0.5882353186607361,0.6785714030265808,21,17
25% Labeled,9,Control,0,0.6764705777168274,0.773809552192688,18,14
25% Labeled,9,Control,15,0.6764705777168274,0.773809552192688,18,14
25% Labeled,9,Control+SCARF,0,0.7352941036224365,0.726190447807312,21,17
25% Labeled,9,Control+SCARF,15,0.7352941036224365,0.726190447807312,21,17
