dataset,method,mean_acc,std_acc,n_trials
openml_15_breast-w,control+scarf,0.9642857154210408,0.013299269036905354,15
openml_15_breast-w,control+scarf_ae,0.9647618969281514,0.014158155190165384,15
openml_15_breast-w,distill,0.9604761878649394,0.014952677353137279,15
openml_15_breast-w,distill+scarf,0.9647618929545084,0.013915842420741094,15
openml_15_breast-w,distill+scarf_ae,0.9614285667737325,0.01726149042381561,15
openml_15_breast-w,dropout,0.9647618929545084,0.01739236024002214,15
openml_15_breast-w,dropout+scarf,0.9642857035001119,0.015208303305593897,15
openml_15_breast-w,dropout+scarf_ae,0.9666666587193807,0.012688484819186528,15
openml_15_breast-w,label_smooth,0.9609523773193359,0.02018059190060202,15
openml_15_breast-w,label_smooth+scarf,0.9642857074737549,0.014982976021980806,15
openml_15_breast-w,label_smooth+scarf_ae,0.965238090356191,0.013768406216015869,15
openml_15_breast-w,mixup,0.9580952366193135,0.019142619287419275,15
openml_15_breast-w,mixup+scarf,0.9642857074737549,0.011952284193591303,15
openml_15_breast-w,mixup+scarf_ae,0.9661904732386272,0.015088542243835225,15
openml_15_breast-w,self_train,0.9614285628000895,0.01582214046576202,15
openml_15_breast-w,self_train+scarf,0.9647618969281514,0.009920320201921722,15
openml_15_breast-w,self_train+scarf_ae,0.965238094329834,0.013006183642591861,15
openml_15_breast-w,tri_train,0.9599999904632568,0.018952146819559427,5
openml_15_breast-w,tri_train+scarf,0.9614285707473755,0.016659873830232246,5
openml_15_breast-w,tri_train+scarf_ae,0.9614285707473755,0.017261502591672667,5
openml_37_diabetes,control,0.7064935008684794,0.053819113086346806,15
openml_37_diabetes,control+scarf,0.722510834534963,0.03870526870406694,15
openml_37_diabetes,control+scarf_ae,0.7238095204035441,0.04864305836598624,15
openml_37_diabetes,distill,0.7142857154210408,0.043785047256240425,15
openml_37_diabetes,distill+scarf,0.7303030371665955,0.0364151301676439,15
openml_37_diabetes,distill+scarf_ae,0.7229437311490376,0.04389191849501907,15
openml_37_diabetes,dropout,0.7008658011754354,0.05159330668193655,15
openml_37_diabetes,dropout+scarf,0.7320346275965373,0.03638423169724125,15
openml_37_diabetes,dropout+scarf_ae,0.7255411227544148,0.04879307452270533,15
openml_37_diabetes,label_smooth,0.7047619064648946,0.042006955555504065,15
openml_37_diabetes,label_smooth+scarf,0.7259740312894185,0.03312748425313383,15
openml_37_diabetes,label_smooth+scarf_ae,0.7190476258595785,0.04048024014960491,15
openml_37_diabetes,mixup,0.7060606082280477,0.03977975574228414,15
openml_37_diabetes,mixup+scarf,0.7333333333333333,0.0298481483343036,15
openml_37_diabetes,mixup+scarf_ae,0.7311688264211019,0.036640860567532026,15
openml_37_diabetes,self_train,0.7277056256930033,0.049593078655244566,15
openml_37_diabetes,self_train+scarf,0.739393945535024,0.03618279980959357,15
openml_37_diabetes,self_train+scarf_ae,0.7316017309824626,0.044019815045510745,15
openml_37_diabetes,tri_train,0.6909090876579285,0.05236842907419984,5
openml_37_diabetes,tri_train+scarf,0.7103896260261535,0.016220779822814863,5
openml_37_diabetes,tri_train+scarf_ae,0.700000011920929,0.028865089246194145,5
openml_54_vehicle,control,0.5894117732842763,0.08311135587751624,15
openml_54_vehicle,control+scarf,0.5227451006571452,0.1370957017697238,15
openml_54_vehicle,control+scarf_ae,0.49411765138308206,0.09021312225958043,15
openml_54_vehicle,distill,0.5545098066329956,0.14152679523145997,15
openml_54_vehicle,distill+scarf,0.5000000059604645,0.1054894680735039,15
openml_54_vehicle,distill+scarf_ae,0.4329411824544271,0.06730261655448598,15
openml_54_vehicle,dropout,0.586274512608846,0.11441978556153423,15
openml_54_vehicle,dropout+scarf,0.5160784423351288,0.10173731727027863,15
openml_54_vehicle,dropout+scarf_ae,0.41568628152211506,0.052861232986595875,15
openml_54_vehicle,label_smooth,0.6305882394313812,0.09196559178473182,15
openml_54_vehicle,label_smooth+scarf,0.525882359345754,0.11506580286839758,15
openml_54_vehicle,label_smooth+scarf_ae,0.5243137339750926,0.11825074122919728,15
openml_54_vehicle,mixup,0.5772549072901408,0.12407659443664165,15
openml_54_vehicle,mixup+scarf,0.4772549053033193,0.09898834364134146,15
openml_54_vehicle,mixup+scarf_ae,0.5000000059604645,0.10379200390916592,15
openml_54_vehicle,self_train,0.6800000071525574,0.047146975331454476,15
openml_54_vehicle,self_train+scarf,0.6176470637321472,0.11379983984849056,15
openml_54_vehicle,self_train+scarf_ae,0.5796078443527222,0.11359424214042789,15
openml_54_vehicle,tri_train,0.6564705848693848,0.05806571195999907,5
openml_54_vehicle,tri_train+scarf,0.5717647016048432,0.04532084502633338,5
openml_54_vehicle,tri_train+scarf_ae,0.5764706015586853,0.10249483617865005,5
