ablation,dataset,variant,mean_acc,std_acc,n_trials
corruption_strategies,wine,marginal_zscore,0.9722222089767456,0.0,3
corruption_strategies,glass,mean_minmax,0.45454545815785724,0.018556734945291847,3
corruption_strategies,pima-diabetes,mean_minmax,0.709956705570221,0.06629174291404277,3
corruption_strategies,sonar,mean_minmax,0.5952381094296774,0.03367176352703041,3
corruption_strategies,wine,mean_minmax,0.8333333134651184,0.10393492918038894,3
corruption_strategies,glass,mean_zscore,0.5454545418421427,0.049096528803572535,3
corruption_strategies,pima-diabetes,mean_zscore,0.7727272709210714,0.02754959660603496,3
corruption_strategies,sonar,mean_zscore,0.7222222089767456,0.09784783548478206,3
corruption_strategies,wine,mean_zscore,0.9537036816279093,0.01309457626595066,3
corruption_strategies,glass,missing_feature_minmax,0.39393938581148785,0.010713742940418765,3
corruption_strategies,pima-diabetes,missing_feature_minmax,0.7554112474123637,0.011036815445750886,3
corruption_strategies,sonar,missing_feature_minmax,0.6428571343421936,0.07776157450102261,3
corruption_strategies,wine,missing_feature_minmax,0.8240740696589152,0.1163870653745113,3
corruption_strategies,glass,missing_feature_zscore,0.6136363744735718,0.05567021700261871,3
corruption_strategies,pima-diabetes,missing_feature_zscore,0.7597402532895406,0.014027563891557,3
corruption_strategies,sonar,missing_feature_zscore,0.7301587263743082,0.06249212730593277,3
corruption_strategies,wine,missing_feature_zscore,0.9722222089767456,0.02268047139621209,3
corruption_strategies,glass,none_minmax,0.46969695885976154,0.11338354993405403,3
corruption_strategies,pima-diabetes,none_minmax,0.7272727489471436,0.009183208234644658,3
corruption_strategies,sonar,none_minmax,0.6111111243565878,0.07360015097251754,3
corruption_strategies,wine,none_minmax,0.9259259104728699,0.02618912443400231,3
corruption_strategies,glass,none_zscore,0.6515151659647623,0.08367697135248019,3
corruption_strategies,pima-diabetes,none_zscore,0.7792207797368368,0.051129911789377896,3
corruption_strategies,sonar,none_zscore,0.7936507860819498,0.048923930634591585,3
corruption_strategies,wine,none_zscore,0.9444444378217062,0.07856742949780494,3
batch_size,glass,batch_128,0.4999999900658925,0.018556734945291847,3
batch_size,pima-diabetes,batch_128,0.7900432745615641,0.020072774484848746,3
batch_size,sonar,batch_128,0.8015873034795126,0.07856741745584947,3
batch_size,wine,batch_128,0.9444444378217062,0.039283700699952975,3
batch_size,glass,batch_16,0.6515151460965475,0.04670011311521287,3
batch_size,pima-diabetes,batch_16,0.7683982451756796,0.01704331318176724,3
batch_size,sonar,batch_16,0.7857142885526022,0.05832118087576865,3
batch_size,wine,batch_16,0.9259259104728699,0.0472131388820167,3
batch_size,glass,batch_256,0.5303030411402384,0.13033825973215826,3
batch_size,pima-diabetes,batch_256,0.7532467643419901,0.019116345352490616,3
batch_size,sonar,batch_256,0.7936507860819498,0.10706934524902757,3
batch_size,wine,batch_256,0.9537037014961243,0.034644971083463934,3
batch_size,glass,batch_4,0.5151515106360117,0.05669176169201734,3
batch_size,pima-diabetes,batch_4,0.7142857313156128,0.01911637234807719,3
batch_size,sonar,batch_4,0.761904776096344,0.1028688938432637,3
batch_size,wine,batch_4,0.9074074029922485,0.034644971083463934,3
